id,title__en,description__en,icon,tags,props__url,props__scheme,props__osi_approved
latex2e,Latex2e License,,,all,https://spdx.org/licenses/Latex2e,spdx,
leptonica,Leptonica License,,,all,https://spdx.org/licenses/Leptonica,spdx,
liliq-p-1.1,Licence Libre du Québec – Permissive version 1.1,,,all,https://opensource.org/license/liliq-p-1-1,spdx,y
liliq-r-1.1,Licence Libre du Québec – Réciprocité version 1.1,,,all,https://opensource.org/license/liliq-r-1-1,spdx,y
liliq-rplus-1.1,Licence Libre du Québec – Réciprocité forte version 1.1,,,all,https://opensource.org/license/liliq-rplus-1-1,spdx,y
libpng,libpng License,,,"all,software",https://spdx.org/licenses/Libpng,spdx,
linux-openib,Linux Kernel Variant of OpenIB.org license,,,all,https://spdx.org/licenses/Linux-OpenIB,spdx,
mit,MIT License,"A short and simple permissive license with conditions only requiring preservation of copyright and license notices. Licensed works, modifications, and larger works may be distributed under different terms and without source code.",,"recommended,all,software",https://opensource.org/license/mit,spdx,y
mit-0,MIT No Attribution,,,"all,software",https://opensource.org/license/mit-0,spdx,y
mit-cmu,CMU License,,,"all,software",https://spdx.org/licenses/MIT-CMU,spdx,
mit-advertising,Enlightenment License (e16),,,"all,software",https://spdx.org/licenses/MIT-advertising,spdx,
mit-enna,enna License,,,"all,software",https://spdx.org/licenses/MIT-enna,spdx,
mit-feh,feh License,,,"all,software",https://spdx.org/licenses/MIT-feh,spdx,
mit-open-group,MIT Open Group variant,,,"all,software",https://spdx.org/licenses/MIT-open-group,spdx,
mitnfa,MIT +no-false-attribs license,,,"all,software",https://spdx.org/licenses/MITNFA,spdx,
mpl-1.0,Mozilla Public License 1.0,,,"all,software",https://opensource.org/license/mpl-1-0,spdx,y
mpl-1.1,Mozilla Public License 1.1,,,"all,software",https://opensource.org/license/mpl-1-1,spdx,y
mpl-2.0,Mozilla Public License 2.0,,,"all,software",https://opensource.org/license/mpl-2-0,spdx,y
mpl-2.0-no-copyleft-exception,Mozilla Public License 2.0 (no copyleft exception),,,"all,software",https://spdx.org/licenses/MPL-2.0-no-copyleft-exception,spdx,y
ms-pl,Microsoft Public License,,,"all,software",https://opensource.org/license/ms-pl-html,spdx,y
ms-rl,Microsoft Reciprocal License,,,"all,software",https://opensource.org/license/ms-rl-html,spdx,y
mtll,Matrix Template Library License,,,all,https://spdx.org/licenses/MTLL,spdx,
makeindex,MakeIndex License,,,all,https://spdx.org/licenses/MakeIndex,spdx,
miros,The MirOS Licence,,,"all,software",https://opensource.org/license/miros-html,spdx,y
motosoto,Motosoto License,,,"all,software",https://opensource.org/license/motosoto,spdx,y
